questions,tool,arguments,model_tool,model_arguments,correct_tool,correct_arguments,percent_arguments
What are the busiest stops?,busiest_stops," {'top_n': 10, 'start_date': '2025-01-01', 'end_date': '2025-12-31', 'metric': 'boardings'}",busiest_stops,"{'metric': 'boardings', 'top_n': 10, 'start_date': '2025-01-01', 'end_date': '2025-12-31'}",True,True,1.0
Which stops are the most busy based on alightings?,busiest_stops,"{'start_date': '2025-01-01', 'end_date': '2025-12-31',  'metric': 'alightings'}",busiest_stops,"{'end_date': '2025-12-31', 'metric': 'alightings', 'start_date': '2025-01-01'}",True,True,1.0
"From June, what are the 8 busiest stops?",busiest_stops,"{'start_date': '2025-06-01', 'end_date': '2025-12-31', 'top_n': 8}",busiest_stops,"{'start_date': '2025-06-01', 'end_date': '2025-06-30', 'top_n': 8, 'metric': 'boardings'}",True,False,0.6666666666666666
What are 2 busy stops by alightings until the start of July?,busiest_stops,"{'start_date': '2025-01-01', 'end_date': '2025-07-01', 'top_n': 2, 'metric': 'alightings'}",busiest_stops,"{'start_date': '2025-01-01', 'end_date': '2025-07-01', 'top_n': 2, 'metric': 'alightings'}",True,True,1.0
Which stops are the most busy on the 3rd?,None,{},None,{},True,True,1.0
"What was impact of the August 30th, 2025 service change on Route 675 for a window of 60 days?",service_change_impact,"{'route_id': '675', 'change_date': '2025-08-30', 'window_days': 60}",service_change_impact," {'change_date': '2025-08-30', 'window_days': 60, 'route_id': '675'}",True,True,1.0
"In 2025, what was the impact of the increasing bus trips on Route 107 on March 29th?",service_change_impact,"{'route_id': '107', 'change_date': '2025-03-29', 'window_days': 30}",service_change_impact,"{'route_id': '107', 'change_date': '2025-03-29', 'window_days': 30}",True,True,1.0
"What was the impact of the April 1st, 2025 service change?",None,{},None,{},True,True,1.0
What was impact of the service change on Route 203?,None,{},None,{},True,True,1.0
"For service change 251, give me 1 route that was overcrowded during the PM Peak.",get_overcrowded_routes,"{'service_change_num': '251', 'time_period': 'PM Peak', 'top_n': 1}",get_overcrowded_routes,"{'service_change_num': '251', 'time_period': 'PM Peak', 'top_n': 1}",True,True,1.0
Which routes are overcrowded for the latest service change?,get_overcrowded_routes,{'service_change_num': '253'},get_overcrowded_routes,{'service_change_num': '253'},True,True,1.0
 Which 15 routes have the worst crowding issues for the oldest service change?,get_overcrowded_routes,"{'service_change_num': '243', 'top_n': 15}",get_overcrowded_routes,"{'service_change_num': '243', 'top_n': 15}",True,True,1.0
Which routes are overcrowded?,None,{},None,{},True,True,1.0
"How do Routes 675, 7, and 40 compare in May 2025?",compare_routes,"{'route_ids': '675,7,40', 'start_date': '2025-05-01', 'end_date': '2025-05-31'}",compare_routes,"{'route_ids': '675,7,40', 'start_date': '2025-05-01', 'end_date': '2025-05-31'}",True,True,1.0
Which performs better - Route 40 or Route E Line?,compare_routes,"{'route_ids': '40,E Line', 'start_date': '2025-01-01', 'end_date': '2025-12-31'}",compare_routes,"{'route_ids': '40,E Line', 'start_date': '2025-01-01', 'end_date': '2025-12-31'}",True,True,1.0
Show me a side-by-side comparison of Routes 5 and 10 last month of 2025,compare_routes,"{'end_date': '2025-12-31', 'route_ids': '5,10', 'start_date': '2025-12-01'}",compare_routes,"{'route_ids': '5,10', 'start_date': '2025-12-01', 'end_date': '2025-12-31'}",True,True,1.0
Which routes are losing ridership?,identify_declining_routes,"{'comparison_months': 3, 'threshold_pct': -10, 'min_trips': 100}",identify_declining_routes,"{'comparison_months': 3, 'threshold_pct': -10, 'min_trips': 100}",True,True,1.0
Show me routes with at least 5% drop in ridership comparing last 3 months to previous 3 months,identify_declining_routes,"{'comparison_months': 3, 'threshold_pct': -5, 'min_trips': 100}",identify_declining_routes,"{'comparison_months': 3, 'threshold_pct': -5, 'min_trips': 100}",True,True,1.0
What routes have more than 15% ridership decline?,identify_declining_routes,{'threshold_pct': -15},identify_declining_routes,{'threshold_pct': -15},True,True,1.0
When are routes most crowded?,get_crowding_by_time_period,"{'start_date': '2025-01-01', 'end_date': '2025-12-31'}",get_crowding_by_time_period,"{'start_date': '2025-01-01', 'end_date': '2025-12-31'}",True,True,1.0
What time periods have the worst crowding in January?,get_crowding_by_time_period,"{'start_date': '2025-01-01', 'end_date': '2025-01-31'}",get_crowding_by_time_period,"{'start_date': '2025-01-01', 'end_date': '2025-01-31'}",True,True,1.0
How does inbound ridership compare to outbound for Route 550 from May to July 2025?,get_routes_by_direction,"{'route_id': '550', 'start_date': '2025-05-01', 'end_date': '2025-07-31'}",get_routes_by_direction,"{'route_id': '550', 'start_date': '2025-05-01', 'end_date': '2025-07-31'}",True,True,1.0
Which direction has higher ridership on Route 40?,get_routes_by_direction,"{'end_date': '2025-12-31', 'route_id': '40', 'start_date': '2025-01-01'}",get_routes_by_direction,"{'start_date': '2025-01-01', 'end_date': '2025-12-31', 'route_id': '40'}",True,True,1.0
How do holidays affect ridership compared to regular weekdays on Christmas 2025?,get_ridership_by_day_type,"{'start_date': '2025-12-25', 'end_date': '2025-12-25'}",get_ridership_by_day_type,"{'start_date': '2025-12-25', 'end_date': '2025-12-25'}",True,True,1.0
How do Winter holidays affect ridership compared to regular weekdays in 2025?,get_ridership_by_day_type,"{'start_date': '2025-01-01', 'end_date': '2025-12-31'}",get_ridership_by_day_type,"{'start_date': '2025-01-01', 'end_date': '2025-12-31'}",True,True,1.0
